Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35,34,27,20,22,22,20,17,21,11,14,15,35
Jamaica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35,22,27,23,18,13,13,19,41,16,21,29,35
Madagascar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,11,27,29,16,19,16,18,10,14,23,25,34
Gibraltar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,3,11,18,22,2,2,1,4,1,7,32,34
Southern and East Africa nec,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,43,36,85,55,89,98,31,9,2,59,22,29,31
Senegal,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,23,43,29,18,50,69,55,15,27,62,89,34,30
Morocco,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,26,44,39,19,28,37,48,18,28,46,29,30
Kiribati,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,38,30,33,29,39,37,36,34,37,30,31,27,26
North Macedonia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,18,16,18,19,22,23,25,22,20,21,23,26
Bahamas,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,15,6,3,3,4,6,10,12,17,25,20,24
Malta,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36,49,62,137,27,26,22,23,21,18,33,26,23
Serbia,,,,,,,,,,,,,,,,,,,,,,,17,16,22,28,23,25,24,23,23,23,23
Croatia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22,29,30,53,18,19,22,23,23,35,22,22,22
Afghanistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16,19,31,20,37,23,14,18,15,31,22,24,21
Ethiopia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,4,8,10,8,9,11,14,12,17,16,22,20
Suriname,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,6,6,3,4,4,7,5,8,2,4,5,19
Dominican Republic,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,13,9,14,15,11,9,10,11,8,13,18,18
Cook Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14,20,16,15,13,12,13,16,15,15,24,26,18
Mali,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,29,22,22,23,22,28,38,27,21,23,21,21,18
Sierra Leone,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,3,2,10,21,15,10,7,7,2,5,13,17
Uganda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,17,9,9,10,9,44,32,28,21,37,17,15
UK Virgin Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,2,1,4,9,21,4,3,4,11,28,28,15
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,62,293,189,77,11,14,21,15
Namibia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,15,24,27,18,21,33,25,14,13,14,15,14
El Salvador,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40,38,28,34,35,25,24,30,24,23,19,26,14
Seychelles,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24,15,14,10,16,9,9,11,15,9,10,11,13
Uzbekistan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,4,6,5,4,4,9,6,9,6,11,10,13
Marshall Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,9,7,3,3,7,12,5,9,7,6,11,12
Norfolk Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21,23,23,19,18,13,12,13,18,17,14,13,12
Guam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,19,18,20,22,18,18,17,17,17,16,13,14,12
Azerbaijan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,7,12,16,11,19,13,15,13,10,10,8,11
American Samoa,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,12,7,5,5,8,5,7,11,11,10,9,11
Reunion,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,19,23,39,23,13,17,11,12,14,13,11,11
Mauritania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,15,17,25,44,21,23,9,6,13,16,12,10
Costa Rica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,44,31,62,22,21,9,6,7,10,16,10,13,10
Eritrea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,2,1,5,7,4,2,4,13,3,5,12,10
Guatemala,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,34,36,21,17,25,17,13,10,18,9,6,10,9
Belarus,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,4,4,4,3,4,6,17,6,4,4,5,9
Barbados,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,10,6,8,7,2,6,26,6,9,169,78,9
Paraguay,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,3,2,2,4,3,4,3,3,4,8,8,8
Guyana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,1,3,2,6,3,2,11,3,2,5,5,8
Algeria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,69,92,42,24,25,5,6,50,16,11,34,15,8
Togo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,3,3,2,8,2,3,1,4,5,5,13,8
Libya,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25,63,37,65,48,64,41,42,18,13,9,6,7
Malawi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,6,26,22,15,11,39,26,36,29,18,7,7
Bosnia-Herzegovina,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,9,7,11,12,7,7,7,7,7,7,8,7
Guinea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31,41,20,26,29,20,6,4,8,5,9,14,7
Kyrgyzstan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,4,1,2,4,4,4,5,4,3,3,2,7
Tuvalu,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,5,5,4,3,3,3,3,9,5,7,4,6
Albania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,4,4,5,6,6,6,7,7,6,9,8,6
Angola,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,31,17,13,11,13,12,13,11,10,8,25,6
Democratic Republic of the Congo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,23,3,1,4,7,20,14,8,4,6,6,5
Bolivia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,9,5,4,3,3,5,4,5,5,6,6,5
Rwanda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,2,1,4,6,20,5,6,4,3,4,5
Federated States of Micronesia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,6,6,6,8,10,10,7,8,11,5,6,5
Cameroon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,14,5,4,6,16,16,21,14,7,9,5,5
Syria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,15,34,14,25,13,4,5,6,3,4,3,5
