latitude,longitude,value
-33.55098,115.57156,94
-32.22066,116.00851,66
-31.89158,116.76901,139
-31.89308,116.76691,139
-33.6144,115.11129,400
-31.91659,115.77116,170
-32.603,115.64967,440
-32.05209,115.74886,37
-31.87938,116.06043,60
-32.04323,115.94105,360
-31.90546,115.76002,368
-32.05691,115.81114,80
-31.95708,115.86693,70
-32.06409,115.75164,278
-32.04972,115.96477,50
-32.04737,115.75935,202
-34.31441,115.12538,450
-31.99395,115.86584,131
-32.5804,115.78648,398
-32.06022,115.77119,180
-31.93256,115.90822,900
-32.0338,115.78226,285
-32.05114,115.83366,175
-33.94114,115.06356,540
-31.80242,115.7503,94
-31.99798,115.89764,149
-33.65548,115.32651,87
-33.94105,115.06267,350
-30.30249,115.03948,160
-31.8237,115.84127,120
-34.26801,115.09134,340
-31.01487,115.3379,1050
-32.04139,115.7605,170
-33.98678,115.04872,480
-32.68741,116.70969,104
-32.07363,115.7885,222
-31.84864,115.85101,60
-28.74141,114.61879,80
-31.94658,115.80845,101
-32.53464,115.71046,99
-33.63037,115.10106,973
-35.0263,117.46978,348
-31.88714,115.767,1295
-33.8653,121.88591,160
-31.91602,116.0668,140
-32.06416,115.76397,202
-31.66121,115.69764,675
-31.66048,115.69181,825
-33.65151,115.33625,460
-31.93999,115.86837,145
-32.05357,115.74791,198
-34.98618,117.34615,720
-34.9848,117.3617,280
-33.33,115.6305,268
-32.56011,115.74119,90
-32.07207,115.81673,3150
-31.91674,115.81789,60
-34.97037,117.40627,215
-32.08314,115.76904,60
-32.01363,115.93542,1002
-33.95565,115.07922,101
-33.95232,115.06494,180
-31.99259,115.98575,60
-33.87258,121.8886,340
-31.95954,115.86763,486
-32.03754,115.91325,55
-34.48679,117.65337,220
-33.9783,114.99534,501
-32.01191,115.76476,2688
-33.99717,114.99741,1298
-32.04203,115.83689,1065
-31.95739,115.86939,534
-31.89406,115.86629,495
-33.95045,115.08398,338
-32.58862,115.64719,150
-25.91902,113.52837,354
-33.65129,115.32499,3015
-32.04375,115.93258,435
-31.97329,115.94548,120
-25.9188,113.52836,354
-25.9187,113.5283,354
-31.96735,115.94311,94
-21.97458,114.125,420
-31.93213,116.01125,70
-32.04057,115.92,450
-31.34832,115.49769,660
-33.95105,115.08376,460
-31.95725,115.91776,510
-31.93121,115.84097,840
-33.63099,115.05357,10157
-31.96778,115.91532,447
-32.05512,115.74471,121
-31.92382,115.86077,90
-32.52216,115.70544,1450
-33.65399,115.08905,110
-32.058,115.75325,180
-31.95787,115.8189,1176
-32.05695,115.7572,202
-33.62974,115.05352,165
-31.92584,115.8984,45
-31.96617,115.94363,72
-31.96673,115.94224,89
-31.96706,115.94185,83
-32.5816,115.78849,810
-35.02302,117.46951,348
-34.31369,115.15803,320
-31.94557,115.86143,500
-31.98766,115.75924,6307
-32.06284,115.76859,195
-27.7193,114.15868,368
-31.97325,115.81531,696
-33.84923,115.1038,420
-32.56503,115.6742,255
-32.01609,115.85948,55
-33.69614,115.08091,770
-32.04519,115.76665,1420
-31.85816,115.75379,150
-31.94577,115.81999,400
-33.09169,115.73927,390
-31.92974,115.86819,130
-31.98047,115.78013,198
-33.62948,115.11546,59
-31.8788,116.13836,44
-31.66644,115.69793,372
-31.92447,116.08403,178
-31.92523,115.86199,200
-31.93485,115.83039,139
-31.95081,115.87822,472
-33.60801,115.09305,700
-31.95206,115.85607,10890
-33.86816,121.89104,380
-31.90328,115.94306,40
-31.64154,116.47617,380
-31.92936,115.83984,270
-27.70059,114.16968,750
-32.04232,115.76194,285
-33.84669,117.15616,110
-32.04845,115.76165,65
-31.83958,115.85501,420
-31.88581,115.76683,190
-32.07647,115.75367,297
-31.94591,115.84432,262
-32.04372,115.75773,146
-31.91226,118.34974,130
-31.91201,118.35156,130
-17.9548,122.21333,380
-31.98055,115.77889,148
-31.95513,115.9123,1246
-31.97737,115.79959,180
-27.71219,114.16154,164
-31.97325,115.81531,726
-31.97325,115.81531,714
-31.97325,115.81531,8918
-34.96072,117.35428,74
-31.97618,115.89147,220
-31.73108,115.71996,272
-31.89104,115.76958,905
